NatEmis,DataYear,ProvinceCD,Province,Institution_Name,Status,Sector,Type_DoE,Phase,Specialization,OwnerLand,OwnerBuild,Ownership,ExDept,PaypointNo,ComponentNo,ExamNo,ExamCentre,GIS_Longitude,GIS_Latitude,GISSource,Magisterial_District,DMunName,LMunName,Ward_ID,EIRegion,EIDistrict,EICircuit,Addressee,Township_Village,Suburb,Town_City,StreetAddress,PostalAddress,Telephone,Facsimile,Section21,Section21_Funct,Quintile,NAS,NodalArea,RegistrationDate,NoFeeSchool,Allocation,Urban_Rural,Open_Boarding_school,ANA_School,Full_Service_School,LEARNER NUMBER,EDUCATOR TOTAL
700400858,2016,7,GP,THE VALLEY PRE AND PRIMARY SCHOOL,OPEN,INDEPENDENT,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY SCHOOL,UNKOWN,UNKOWN,UNKOWN,UNKNOWN,99,99,99,NOT APPLICABLE,99,99,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,99,NOT APPLICABLE,JOHANNESBURG EAST,JE_,UNKOWN,UNKOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,99,99,UNKNOWN,UNKNOWN,NOT APPLICABLE,UNKNOWN,99,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,76,6
700400868,2016,7,GP,NORTHRIDING COLLEGE,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY SCHOOL,UNKOWN,UNKOWN,UNKOWN,UNKNOWN,99,99,99,NOT APPLICABLE,99,99,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,99,NOT APPLICABLE,JOHANNESBURG NORTH,JN_,UNKOWN,UNKOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,99,99,UNKNOWN,UNKNOWN,NOT APPLICABLE,UNKNOWN,99,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,180,10
700400871,2016,7,GP,YOUNITIATE PRIMARY SCHOOL,OPEN,INDEPENDENT,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY SCHOOL,UNKOWN,UNKOWN,UNKOWN,UNKNOWN,99,99,99,NOT APPLICABLE,99,99,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,99,NOT APPLICABLE,GAUTENG EAST,GE_,UNKOWN,UNKOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,99,99,UNKNOWN,UNKNOWN,NOT APPLICABLE,UNKNOWN,99,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,43,3
700400873,2016,7,GP,FAIR RIDGE PRIVATE SCHOOL,PENDING CLOSE,INDEPENDENT,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY SCHOOL,UNKOWN,UNKOWN,UNKOWN,UNKNOWN,99,99,99,NOT APPLICABLE,99,99,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,99,NOT APPLICABLE,JOHANNESBURG WEST,JW_,UNKOWN,UNKOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,99,99,UNKNOWN,UNKNOWN,NOT APPLICABLE,UNKNOWN,99,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,3,2
700400877,2016,7,GP,SANDTON JUNIOR SCHOOL,OPEN,INDEPENDENT,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY SCHOOL,UNKOWN,UNKOWN,UNKOWN,UNKNOWN,99,99,99,NOT APPLICABLE,99,99,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,99,NOT APPLICABLE,JOHANNESBURG EAST,JE_,UNKOWN,UNKOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,99,99,UNKNOWN,UNKNOWN,NOT APPLICABLE,UNKNOWN,99,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,77,8
700400878,2016,7,GP,HIS WILLS SCHOOL,OPEN,INDEPENDENT,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY SCHOOL,UNKOWN,UNKOWN,UNKOWN,UNKNOWN,99,99,99,NOT APPLICABLE,99,99,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,99,NOT APPLICABLE,JOHANNESBURG EAST,JE_,UNKOWN,UNKOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,99,99,UNKNOWN,UNKNOWN,NOT APPLICABLE,UNKNOWN,99,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,197,4
700400880,2016,7,GP,MAMOSA EDUCATIONAL INSTITUTE,OPEN,INDEPENDENT,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY SCHOOL,UNKOWN,UNKOWN,UNKOWN,UNKNOWN,99,99,99,NOT APPLICABLE,99,99,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,99,NOT APPLICABLE,GAUTENG EAST,GE_,UNKOWN,UNKOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,99,99,UNKNOWN,UNKNOWN,NOT APPLICABLE,UNKNOWN,99,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,21,5
700400883,2016,7,GP,THE GOAL CHRISTIAN ACADEMY,PENDING CLOSE,INDEPENDENT,ORDINARY SCHOOL,INTERMEDIATE SCHOOL,ORDINARY SCHOOL,UNKOWN,UNKOWN,UNKOWN,UNKNOWN,99,99,99,NOT APPLICABLE,99,99,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,99,NOT APPLICABLE,JOHANNESBURG CENTRAL,JC_,UNKOWN,UNKOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,99,99,UNKNOWN,UNKNOWN,NOT APPLICABLE,UNKNOWN,99,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,9,2
700400884,2016,7,GP,MULTY CAREERS COLLEGE,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY SCHOOL,UNKOWN,UNKOWN,UNKOWN,UNKNOWN,99,99,99,NOT APPLICABLE,99,99,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,99,NOT APPLICABLE,EKURHULENI NORTH,EN_,UNKOWN,UNKOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,99,99,UNKNOWN,UNKNOWN,NOT APPLICABLE,UNKNOWN,99,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,45,13
700400886,2016,7,GP,ROYAL SCHOOLS ALBERTON,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY SCHOOL,UNKOWN,UNKOWN,UNKOWN,UNKNOWN,99,99,99,NOT APPLICABLE,99,99,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,99,NOT APPLICABLE,EKURHULENI SOUTH,ES_,UNKOWN,UNKOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,99,99,UNKNOWN,UNKNOWN,NOT APPLICABLE,UNKNOWN,99,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,1062,49
700400889,2016,7,GP,THUTO KE LESEDI COLLEGE,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY SCHOOL,UNKOWN,UNKOWN,UNKOWN,UNKNOWN,99,99,99,NOT APPLICABLE,99,99,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,99,NOT APPLICABLE,JOHANNESBURG EAST,JE_,UNKOWN,UNKOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,99,99,UNKNOWN,UNKNOWN,NOT APPLICABLE,UNKNOWN,99,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,10,5
700400890,2016,7,GP,TOMORROW'S PEOPLE COLLEGE-MAMELODI CAMPUS,OPEN,INDEPENDENT,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY SCHOOL,UNKOWN,UNKOWN,UNKOWN,UNKNOWN,99,99,99,NOT APPLICABLE,99,99,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,99,NOT APPLICABLE,TSHWANE SOUTH,TS_,UNKOWN,UNKOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,99,99,UNKNOWN,UNKNOWN,NOT APPLICABLE,UNKNOWN,99,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,61,5
700400891,2016,7,GP,YOUNG EINSTEINS,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY SCHOOL,UNKOWN,UNKOWN,UNKOWN,UNKNOWN,99,99,99,NOT APPLICABLE,99,99,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,99,NOT APPLICABLE,JOHANNESBURG CENTRAL,JC_,UNKOWN,UNKOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,99,99,UNKNOWN,UNKNOWN,NOT APPLICABLE,UNKNOWN,99,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,267,35
700110015,2016,7,GP,DALEVIEW SECONDARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY SCHOOL,PUBLIC,STATE,STATE,HOUSE OF REPRESENTATIVES(HOR),911031,911031,8110015,DALEVIEW SECONDARY SCHOOL,27.821641,-26.405821,GISSource,UNKNOWN,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800121,JOHANNESBURG,JOHANNESBURG SOUTH,JS_2,CAMPBELL,EXT. 9,ENNERDALE,JOHANNESBURG,"1 C/O VAN ROOYEN CRESCENT & SAMUEL ROAD, EXT. 9, ENNERDALE, 1830","P.O. BOX 400, ENNERDALE, 1830",0118551691,0118551545,YES,ACD,2,N,NOT APPLICABLE,12/31/1899,YES,1177,URBAN,NO,YES,NO,1084,37
700110023,2016,7,GP,ENNERDALE SECONDARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY & TECHNICAL,PUBLIC,STATE,STATE,HOUSE OF REPRESENTATIVES(HOR),911059,911059,8110023,ENNERDALE SECONDARY SCHOOL,27.8232003,-26.41476068,GISSource,UNKNOWN,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800121,JOHANNESBURG,JOHANNESBURG SOUTH,JS_2,SOULS,ENNERDALE,EXTENSION 5,JOHANNESBURG,"3622 AGAAT STREET, ENNERDALE, , 1826","383, ENNERDALE, 1826",0118551325,0118551202,YES,ACD,5,N,NOT APPLICABLE,12/31/1899,YES,1177,URBAN,NO,YES,NO,1244,39
700110031,2016,7,GP,LAWLEY PRIMARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY SCHOOL,PUBLIC,STATE,STATE,HOUSE OF REPRESENTATIVES(HOR),911135,911135,99,NOT APPLICABLE,27.81045404,-26.38458534,GISSource,UNKNOWN,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800121,JOHANNESBURG,JOHANNESBURG SOUTH,JS_2,BUTHELEZI,ENNERADALE,JOHANNESBURG,JOHANNESBURG,"461 3RD AVENUE, ENNERADALE, JOHANNESBURG, 1824",PO BOX 1855;LAWLEY;;1824,0736863199,0866090753,YES,ACD,1,N,NOT APPLICABLE,12/31/1899,YES,1177,URBAN,NO,YES,NO,1889,47
700110049,2016,7,GP,POSEIDON ROAD PRIMARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY SCHOOL,PUBLIC,STATE,STATE,HOUSE OF REPRESENTATIVES(HOR),911225,911225,99,NOT APPLICABLE,27.83573731,-26.41025464,GISSource,UNKNOWN,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800007,JOHANNESBURG,JOHANNESBURG SOUTH,JS_2,AFRICA,ENNERDALE,ENNERDALE,JOHANNESBURG,"2991 POSEIDON STREET, ENNERDALE, ENNERDALE, 1826","143, ENNERDALE, 1830",0102300035,99,YES,ACD,5,N,NOT APPLICABLE,12/31/1899,NO,590,URBAN,NO,YES,NO,1438,35
700110056,2016,7,GP,ALPHA PRIMARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY SCHOOL,PUBLIC,STATE,STATE,HOUSE OF DELEGATES(HOD),914135,914135,99,NOT APPLICABLE,27.83307097,-26.31137398,GISSource,UNKNOWN,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800010,JOHANNESBURG,JOHANNESBURG CENTRAL,JC_2,MAHOMED,EXTENSION 1,LENASIA,JOHANNESBURG,"1 WIDGEON & WEAVERBIRD STREETS, EXTENSION 1, LENASIA, 1827","P.O.BOX 3, LENASIA, 1820",0118522203,0118543697,YES,ACD,5,N,NOT APPLICABLE,12/31/1899,NO,590,URBAN,NO,YES,NO,890,24
700110064,2016,7,GP,APEX PRIMARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY SCHOOL,PUBLIC,STATE,STATE,HOUSE OF DELEGATES(HOD),911018,911018,99,NOT APPLICABLE,27.87104,-26.340427,GISSource,UNKNOWN,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800008,JOHANNESBURG,JOHANNESBURG SOUTH,JS_3,MOOSA,LENASIA,LENASIA,JOHANNESBURG,"245 VOLTA STREET, LENASIA, LENASIA, 1827","P.O. BOX 606, LENASIA, 1820",0118571046,0865624198,YES,ACD,5,N,NOT APPLICABLE,12/31/1899,NO,590,URBAN,NO,YES,NO,984,25
700110072,2016,7,GP,AZARA SECONDARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY & TECHNICAL,PUBLIC,STATE,STATE,HOUSE OF DELEGATES(HOD),911021,911021,8110072,AZARA SECONDARY SCHOOL,27.86979113,-26.33041944,GISSource,UNKNOWN,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800122,JOHANNESBURG,JOHANNESBURG SOUTH,JS_3,PILLAY,LENASIA,LENASIAEXT9,JOHANNESBURG,"31 CAPELLA STREET, LENASIA, , 1827","425, LENASIA, 1820",0118544833,0118522802,YES,ACD,5,N,NOT APPLICABLE,12/31/1899,YES,1177,URBAN,NO,YES,NO,1388,46
700110080,2016,7,GP,ALOE RIDGE PRIMARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY SCHOOL,PUBLIC,STATE,STATE,HOUSE OF ASSEMBLY(HOA),911015,911015,99,NOT APPLICABLE,27.95853389,-26.37897294,GISSource,UNKNOWN,SEDIBENG DISTRICT MUNICIPALITY,MIDVAAL LOCAL MUNICIPALITY,74202007,JOHANNESBURG,JOHANNESBURG SOUTH,JS_3,DE SOUZA,HARTZENBERGFONTEIN,WALKERVILLE,WALKERVILLE,"1 PORTION 1 OF FARM 99, HARTZENBERGFONTEIN, WALKERVILLE, 1876","PO BOX 892, WALKERVILLE, 1876",0119498939,0119498954,YES,ACD,4,N,NOT APPLICABLE,12/31/1899,NO,590,URBAN,NO,YES,NO,670,26
700110098,2016,7,GP,FLAMINGO PRIMARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY SCHOOL,PUBLIC,STATE,STATE,HOUSE OF DELEGATES(HOD),914151,914151,99,NOT APPLICABLE,27.83466344,-26.33106239,GISSource,UNKNOWN,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800008,JOHANNESBURG,JOHANNESBURG CENTRAL,JC_2,N.NAIDOO,EXTENSION 6,LENASIA,JOHANNESBURG,"01 CNR FLAMINGO STREET &GUM CRESCENT, EXTENSION 6, LENASIA, 1827","633, LENASIA, 1820",0118527400,0118547627,YES,ACD,4,N,NOT APPLICABLE,12/31/1899,NO,590,URBAN,NO,YES,NO,1449,43
700110106,2016,7,GP,GREYVILLE PRIMARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY SCHOOL,PUBLIC,STATE,STATE,HOUSE OF DELEGATES(HOD),914159,914159,99,NOT APPLICABLE,27.831869,-26.323692,GISSource,UNKNOWN,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800009,JOHANNESBURG,JOHANNESBURG CENTRAL,JC_2,FRANCIS,LENASIA,LENASIA,JOHANNESBURG,"88 ANEMONE, LENASIA, LENASIA, 1827","P.O.BOX 71, LENASIA, 1820",0118522343,0118547027,YES,ACD,5,N,NOT APPLICABLE,12/31/1899,NO,590,URBAN,NO,YES,NO,1413,37
700110114,2016,7,GP,HARMONY PRIMARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY SCHOOL,PUBLIC,STATE,STATE,HOUSE OF DELEGATES(HOD),914160,914160,99,NOT APPLICABLE,27.853134,-26.319475,GISSource,UNKNOWN,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800009,JOHANNESBURG,JOHANNESBURG CENTRAL,JC_2,HASSEN,EXTENSION 5,LENASIA,JOHANNESBURG,"5467 ARGON CRESCENT, EXTENSION 5, LENASIA, 1820","P.O.BOX 645, LENASIA, 1820",0118521765,0118521765,YES,ACD,4,N,NOT APPLICABLE,12/31/1899,NO,590,URBAN,NO,YES,NO,1017,29
700110122,2016,7,GP,IMPALA CRESCENT PRIMARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY SCHOOL,PUBLIC,STATE,STATE,HOUSE OF DELEGATES(HOD),914165,914165,99,NOT APPLICABLE,27.845252,-26.316555,GISSource,UNKNOWN,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,CITY OF JOHANNESBURG METROPOLITAN MUNICIPALITY,79800010,JOHANNESBURG,JOHANNESBURG CENTRAL,JC_2,ADAM,EXT. 5,LENASIA,JOHANNESBURG,"19 MANDRILL, EXT. 5, LENASIA, 1827","PO BOX 574, LENASIA, 1820",0118524548,0118527454,YES,ACD,5,N,NOT APPLICABLE,12/31/1899,NO,590,URBAN,NO,YES,NO,886,25
